play_id,player_id,x,y,m
1,13,15,23,x
1,1,23,19,x
1,2,20,26,x
1,3,10,33,x
1,4,15,28,x
1,5,19,29,x
1,6,13,33,x
1,7,11,27,x
1,8,20,29,x
1,9,17,30,x
1,10,17,15,x
1,20,35,32,o
1,21,34,28,o
1,22,33,19,o
1,23,31,15,o
1,24,35,18,o
1,25,29,25,o
1,26,31,20,o
1,27,38,20,o
1,28,34,18,o
1,29,33,16,o
1,30,28,29,o
2,13,16,22,x
2,1,25,18,x
2,2,22,25,x
2,3,14,34,x
2,4,18,29,x
2,5,20,30,x
2,6,17,32,x
2,7,15,27,x
2,8,24,28,x
2,9,18,30,x
2,10,20,14,x
2,20,36,33,o
2,21,37,29,o
2,22,34,19,o
2,23,33,16,o
2,24,39,17,o
2,25,32,25,o
2,26,36,19,o
2,27,43,21,o
2,28,38,19,o
2,29,37,15,o
2,30,30,28,o
3,13,20,22,x
3,1,29,17,x
3,2,26,25,x
3,3,16,33,x
3,4,20,29,x
3,5,23,31,x
3,6,21,31,x
3,7,16,27,x
3,8,27,27,x
3,9,19,29,x
3,10,21,13,x
3,20,37,34,o
3,21,38,29,o
3,22,37,20,o
3,23,37,15,o
3,24,43,17,o
3,25,35,24,o
3,26,40,20,o
3,27,45,22,o
3,28,39,19,o
3,29,39,14,o
3,30,32,28,o
4,13,23,22,x
4,1,33,17,x
4,2,29,26,x
4,3,17,32,x
4,4,21,30,x
4,5,26,31,x
4,6,24,31,x
4,7,20,27,x
4,8,31,28,x
4,9,23,30,x
4,10,24,12,x
4,20,42,33,o
4,21,42,29,o
4,22,42,21,o
4,23,38,14,o
4,24,47,17,o
4,25,38,25,o
4,26,44,19,o
4,27,48,22,o
4,28,42,19,o
4,29,42,15,o
4,30,33,27,o
5,13,24,21,x
5,1,34,16,x
5,2,31,26,x
5,3,18,32,x
5,4,23,30,x
5,5,27,31,x
5,6,28,31,x
5,7,24,27,x
5,8,35,27,x
5,9,24,31,x
5,10,26,11,x
5,20,46,34,o
5,21,45,30,o
5,22,43,21,o
5,23,41,14,o
5,24,49,18,o
5,25,39,24,o
5,26,49,19,o
5,27,51,21,o
5,28,43,20,o
5,29,43,16,o
5,30,36,27,o
6,13,29,20,x
6,1,37,15,x
6,2,35,25,x
6,3,21,32,x
6,4,26,29,x
6,5,29,30,x
6,6,32,30,x
6,7,25,28,x
6,8,37,27,x
6,9,26,31,x
6,10,29,12,x
6,20,50,35,o
6,21,47,29,o
6,22,47,20,o
6,23,46,15,o
6,24,50,18,o
6,25,40,23,o
6,26,54,19,o
6,27,52,20,o
6,28,46,21,o
6,29,45,15,o
6,30,40,27,o
7,13,33,20,x
7,1,39,16,x
7,2,40,25,x
7,3,22,31,x
7,4,28,29,x
7,5,34,31,x
7,6,37,31,x
7,7,28,27,x
7,8,42,26,x
7,9,29,32,x
7,10,33,13,x
7,20,54,34,o
7,21,52,28,o
7,22,52,19,o
7,23,51,16,o
7,24,53,18,o
7,25,44,24,o
7,26,59,19,o
7,27,57,21,o
7,28,50,22,o
7,29,49,14,o
7,30,42,28,o
8,13,38,19,x
8,1,41,16,x
8,2,42,24,x
8,3,24,30,x
8,4,30,30,x
8,5,35,30,x
8,6,39,31,x
8,7,31,27,x
8,8,46,26,x
8,9,31,33,x
8,10,34,13,x
8,20,55,35,o
8,21,55,27,o
8,22,53,20,o
8,23,52,15,o
8,24,58,17,o
8,25,45,23,o
8,26,62,20,o
8,27,60,22,o
8,28,53,23,o
8,29,52,14,o
8,30,46,28,o
9,13,41,18,x
9,1,43,17,x
9,2,43,24,x
9,3,28,29,x
9,4,33,31,x
9,5,37,29,x
