play_id,player_id,x,y,m
1,13,24,23,x
1,1,21,22,x
1,2,11,33,x
1,3,16,32,x
1,4,16,19,x
1,5,27,27,x
1,6,23,27,x
1,7,16,21,x
1,8,8,27,x
1,9,26,17,x
1,10,15,29,x
1,20,28,23,o
1,21,37,29,o
1,22,34,27,o
1,23,28,34,o
1,24,32,28,o
1,25,31,21,o
1,26,32,33,o
1,27,35,28,o
1,28,32,18,o
1,29,33,19,o
1,30,32,21,o
2,13,26,22,x
2,1,22,22,x
2,2,13,32,x
2,3,18,31,x
2,4,18,18,x
2,5,31,27,x
2,6,26,26,x
2,7,18,22,x
2,8,10,26,x
2,9,29,16,x
2,10,20,29,x
2,20,32,23,o
2,21,39,30,o
2,22,39,28,o
2,23,31,34,o
2,24,37,29,o
2,25,33,21,o
2,26,33,34,o
2,27,37,29,o
2,28,37,19,o
2,29,36,20,o
2,30,33,20,o
3,13,31,21,x
3,1,23,23,x
3,2,16,31,x
3,3,23,32,x
3,4,19,19,x
3,5,35,28,x
3,6,28,26,x
3,7,20,22,x
3,8,15,27,x
3,9,32,16,x
3,10,21,30,x
3,20,37,22,o
3,21,44,30,o
3,22,42,29,o
3,23,36,33,o
3,24,40,30,o
3,25,34,22,o
3,26,37,33,o
3,27,40,28,o
3,28,40,18,o
3,29,41,19,o
3,30,38,21,o
4,13,36,21,x
4,1,27,22,x
4,2,21,32,x
4,3,28,33,x
4,4,22,20,x
4,5,38,27,x
4,6,30,27,x
4,7,24,21,x
4,8,20,28,x
4,9,37,17,x
4,10,26,30,x
4,20,38,23,o
4,21,46,29,o
4,22,46,28,o
4,23,38,34,o
4,24,43,31,o
4,25,35,22,o
4,26,42,34,o
4,27,41,28,o
4,28,45,18,o
4,29,42,18,o
4,30,39,20,o
5,13,40,21,x
5,1,31,21,x
5,2,22,31,x
5,3,30,32,x
5,4,25,21,x
5,5,40,28,x
5,6,31,28,x
5,7,25,20,x
5,8,22,27,x
5,9,39,16,x
5,10,29,29,x
5,20,43,23,o
5,21,48,29,o
5,22,51,27,o
5,23,42,35,o
5,24,46,31,o
5,25,38,23,o
5,26,45,35,o
