play_id,player_id,x,y,m
1,13,22,27,x
1,1,24,19,x
1,2,22,32,x
1,3,19,15,x
1,4,6,32,x
1,5,23,29,x
1,6,12,31,x
1,7,27,17,x
1,8,10,27,x
1,9,28,25,x
1,10,17,33,x
1,20,35,28,o
1,21,35,27,o
1,22,37,26,o
1,23,32,24,o
1,24,28,30,o
1,25,33,27,o
1,26,30,15,o
1,27,29,25,o
1,28,39,14,o
1,29,31,33,o
1,30,33,19,o
2,13,26,27,x
2,1,25,20,x
2,2,23,31,x
2,3,24,15,x
2,4,10,32,x
2,5,24,29,x
2,6,14,30,x
2,7,29,17,x
2,8,12,27,x
2,9,32,24,x
2,10,22,34,x
2,20,38,29,o
2,21,36,27,o
2,22,38,27,o
2,23,35,23,o
2,24,29,30,o
2,25,36,26,o
2,26,32,15,o
2,27,30,24,o
2,28,42,13,o
2,29,35,34,o
2,30,36,20,o
3,13,30,27,x
3,1,30,20,x
3,2,25,30,x
3,3,27,16,x
3,4,13,33,x
3,5,25,28,x
3,6,18,31,x
3,7,31,18,x
3,8,15,28,x
3,9,35,24,x
3,10,24,34,x
3,20,39,28,o
3,21,41,28,o
3,22,43,27,o
3,23,40,24,o
3,24,34,29,o
3,25,38,26,o
3,26,37,14,o
3,27,34,23,o
3,28,47,14,o
3,29,36,34,o
3,30,40,20,o
4,13,35,27,x
4,1,32,19,x
4,2,30,30,x
4,3,28,17,x
4,4,18,34,x
4,5,30,27,x
4,6,19,30,x
4,7,32,19,x
4,8,19,27,x
4,9,37,24,x
4,10,28,34,x
4,20,42,28,o
4,21,44,27,o
4,22,44,27,o
4,23,44,25,o
4,24,36,29,o
4,25,40,27,o
4,26,41,14,o
4,27,39,24,o
4,28,52,14,o
4,29,38,33,o
4,30,41,20,o
5,13,36,27,x
5,1,37,18,x
5,2,34,30,x
5,3,33,18,x
5,4,21,35,x
5,5,35,27,x
5,6,24,29,x
5,7,37,19,x
5,8,24,27,x
5,9,40,25,x
5,10,30,35,x
5,20,45,29,o
5,21,48,28,o
5,22,49,26,o
5,23,46,25,o
5,24,37,28,o
5,25,45,27,o
5,26,46,13,o
5,27,44,24,o
5,28,54,15,o
5,29,42,32,o
5,30,42,19,o
6,13,41,28,x
6,1,38,19,x
6,2,39,31,x
6,3,38,17,x
6,4,24,35,x
6,5,40,26,x
6,6,26,30,x
6,7,41,19,x
6,8,28,26,x
6,9,44,25,x
6,10,32,35,x
6,20,50,30,o
6,21,53,27,o
6,22,54,25,o
6,23,51,25,o
6,24,38,27,o
6,25,49,28,o
6,26,51,12,o
6,27,46,25,o
6,28,58,14,o
6,29,46,31,o
6,30,46,18,o
7,13,42,29,x
7,1,41,20,x
7,2,44,31,x
7,3,40,18,x
7,4,25,35,x
7,5,42,25,x
7,6,29,31,x
7,7,45,20,x
7,8,32,27,x
7,9,45,26,x
7,10,33,34,x
7,20,52,30,o
7,21,55,26,o
7,22,57,24,o
7,23,55,26,o
7,24,40,26,o
7,25,50,28,o
7,26,54,11,o
7,27,51,26,o
7,28,60,15,o
7,29,49,32,o
7,30,49,19,o
8,13,46,28,x
8,1,42,21,x
8,2,46,30,x
8,3,42,17,x
8,4,30,34,x
8,5,47,25,x
8,6,34,31,x
8,7,49,20,x
8,8,36,28,x
8,9,48,25,x
8,10,34,35,x
8,20,56,29,o
8,21,57,25,o
8,22,61,24,o
8,23,58,25,o
8,24,44,25,o
8,25,52,28,o
8,26,59,10,o
8,27,52,27,o
8,28,63,16,o
8,29,51,32,o
8,30,54,20,o
9,13,51,29,x
9,1,44,20,x
9,2,49,30,x
9,3,47,16,x
9,4,31,34,x
9,5,49,24,x
9,6,37,32,x
9,7,54,21,x
9,8,41,28,x
9,9,51,24,x
9,10,38,35,x
9,20,60,28,o
9,21,61,26,o
9,22,64,23,o
9,23,60,26,o
9,24,45,26,o
9,25,56,28,o
9,26,64,11,o
9,27,56,28,o
9,28,64,17,o
9,29,55,33,o
9,30,59,19,o
10,13,53,30,x
10,1,47,21,x
10,2,53,30,x
10,3,51,16,x
10,4,34,33,x
10,5,51,25,x
10,6,41,33,x
10,7,56,20,x
10,8,43,29,x
10,9,52,24,x
10,10,40,34,x
10,20,61,29,o
10,21,63,26,o
10,22,67,23,o
10,23,62,26,o
10,24,48,25,o
10,25,59,28,o
10,26,69,11,o
10,27,59,29,o
10,28,68,17,o
10,29,57,34,o
10,30,63,20,o
11,13,57,31,x
11,1,52,21,x
11,2,58,31,x
11,3,52,15,x
11,4,36,32,x
11,5,56,24,x
11,6,43,34,x
11,7,57,21,x
11,8,46,30,x
11,9,53,24,x
11,10,41,34,x
11,20,66,29,o
11,21,65,27,o
11,22,70,22,o
11,23,63,25,o
11,24,53,25,o
11,25,62,27,o
11,26,73,10,o
11,27,61,30,o
11,28,70,16,o
11,29,58,33,o
11,30,65,21,o
12,13,61,32,x
12,1,57,20,x
12,2,59,30,x
12,3,54,14,x
12,4,38,31,x
12,5,59,25,x
12,6,46,35,x
12,7,62,22,x
12,8,49,30,x
12,9,57,23,x
12,10,43,35,x
12,20,71,30,o
12,21,70,26,o
12,22,73,21,o
12,23,67,25,o
12,24,57,25,o
12,25,66,28,o
12,26,75,10,o
12,27,64,30,o
12,28,75,15,o
12,29,63,32,o
12,30,70,20,o
13,13,62,33,x
13,1,61,20,x
13,2,63,31,x
13,3,57,15,x
13,4,39,31,x
13,5,63,24,x
13,6,50,36,x
13,7,66,21,x
13,8,53,31,x
13,9,61,23,x
13,10,46,36,x
13,20,76,31,o
13,21,74,25,o
13,22,74,20,o
13,23,71,24,o
13,24,59,26,o
13,25,67,29,o
13,26,76,9,o
13,27,66,31,o
13,28,78,15,o
13,29,64,32,o
13,30,71,21,o
14,13,65,33,x
14,1,66,21,x
14,2,64,32,x
14,3,62,16,x
14,4,40,32,x
14,5,68,23,x
14,6,52,36,x
14,7,71,20,x
14,8,57,30,x
14,9,64,24,x
14,10,47,36,x
14,20,78,30,o
14,21,76,25,o
14,22,76,21,o
14,23,73,23,o
14,24,63,27,o
14,25,69,29,o
14,26,80,10,o
14,27,68,32,o
14,28,79,16,o
14,29,67,32,o
14,30,76,22,o
15,13,68,34,x
15,1,70,21,x
15,2,65,33,x
15,3,64,16,x
15,4,41,33,x
15,5,69,23,x
15,6,57,37,x
15,7,75,20,x
