play_id,player_id,x,y,m
1,13,20,19,x
1,1,9,29,x
1,2,22,32,x
1,3,20,23,x
1,4,16,29,x
1,5,16,33,x
1,6,10,34,x
1,7,10,30,x
1,8,9,20,x
1,9,15,24,x
1,10,23,26,x
1,20,35,34,o
1,21,33,16,o
1,22,29,34,o
1,23,31,33,o
1,24,36,19,o
1,25,34,29,o
1,26,31,28,o
1,27,31,28,o
1,28,26,35,o
1,29,30,25,o
1,30,28,31,o
2,13,22,18,x
2,1,12,30,x
2,2,26,31,x
2,3,21,23,x
2,4,20,30,x
2,5,17,32,x
2,6,12,34,x
2,7,12,31,x
2,8,10,19,x
2,9,20,23,x
2,10,24,27,x
2,20,38,34,o
2,21,35,15,o
2,22,32,34,o
2,23,33,34,o
2,24,38,19,o
2,25,39,28,o
2,26,33,28,o
2,27,36,27,o
2,28,29,35,o
2,29,35,26,o
2,30,29,32,o
3,13,26,19,x
3,1,14,31,x
3,2,27,32,x
3,3,26,22,x
3,4,25,31,x
3,5,19,33,x
3,6,13,35,x
3,7,15,30,x
3,8,15,20,x
3,9,23,23,x
3,10,27,28,x
3,20,41,33,o
3,21,38,16,o
3,22,34,34,o
3,23,37,35,o
3,24,41,18,o
3,25,42,29,o
3,26,38,27,o
3,27,40,26,o
3,28,34,36,o
3,29,39,25,o
3,30,31,33,o
4,13,29,19,x
4,1,18,31,x
4,2,30,33,x
4,3,29,21,x
4,4,28,30,x
4,5,22,34,x
4,6,16,34,x
4,7,20,30,x
4,8,20,21,x
4,9,25,22,x
4,10,29,28,x
4,20,42,34,o
4,21,42,17,o
4,22,35,34,o
4,23,38,34,o
4,24,43,17,o
4,25,43,29,o
4,26,43,26,o
4,27,45,27,o
4,28,38,35,o
4,29,43,25,o
4,30,34,33,o
5,13,30,19,x
5,1,20,32,x
5,2,33,34,x
5,3,34,20,x
5,4,32,31,x
5,5,25,35,x
5,6,19,33,x
5,7,24,31,x
5,8,23,22,x
5,9,28,23,x
5,10,34,27,x
5,20,45,34,o
5,21,43,16,o
5,22,37,34,o
5,23,39,34,o
5,24,45,18,o
5,25,46,29,o
5,26,48,27,o
5,27,49,28,o
5,28,39,35,o
5,29,47,24,o
5,30,36,34,o
6,13,33,20,x
6,1,23,33,x
6,2,37,35,x
6,3,35,21,x
6,4,34,32,x
6,5,28,35,x
6,6,24,32,x
6,7,27,30,x
6,8,25,21,x
6,9,31,23,x
6,10,35,26,x
6,20,50,33,o
6,21,48,17,o
6,22,42,34,o
6,23,40,35,o
6,24,50,17,o
6,25,51,30,o
6,26,52,27,o
6,27,51,29,o
6,28,41,34,o
6,29,52,23,o
6,30,40,35,o
7,13,35,20,x
7,1,28,34,x
7,2,42,34,x
7,3,38,22,x
7,4,36,32,x
7,5,29,35,x
7,6,29,31,x
7,7,28,30,x
7,8,29,21,x
7,9,32,23,x
7,10,39,26,x
7,20,55,33,o
7,21,49,18,o
7,22,44,35,o
7,23,42,36,o
7,24,51,16,o
7,25,53,30,o
7,26,53,26,o
7,27,56,30,o
7,28,45,35,o
7,29,54,23,o
7,30,45,35,o
8,13,40,19,x
8,1,29,34,x
8,2,46,35,x
8,3,41,21,x
8,4,38,32,x
8,5,30,36,x
8,6,30,32,x
8,7,29,30,x
8,8,30,21,x
8,9,36,22,x
8,10,43,26,x
8,20,60,32,o
8,21,54,18,o
8,22,46,35,o
8,23,43,36,o
8,24,55,16,o
8,25,56,30,o
8,26,57,27,o
8,27,61,30,o
8,28,50,34,o
8,29,55,23,o
8,30,48,36,o
9,13,43,18,x
9,1,30,35,x
9,2,47,34,x
9,3,45,21,x
9,4,42,31,x
9,5,33,37,x
9,6,33,31,x
9,7,34,30,x
9,8,35,22,x
9,9,41,23,x
9,10,47,25,x
9,20,61,32,o
9,21,56,19,o
9,22,48,35,o
9,23,44,36,o
9,24,58,15,o
9,25,58,31,o
9,26,58,28,o
9,27,63,31,o
9,28,52,33,o
9,29,57,24,o
9,30,52,35,o
10,13,47,18,x
10,1,31,35,x
10,2,52,35,x
10,3,49,21,x
10,4,46,30,x
10,5,34,38,x
10,6,35,31,x
10,7,39,30,x
10,8,36,21,x
10,9,44,24,x
10,10,50,24,x
10,20,64,33,o
10,21,57,18,o
10,22,51,35,o
10,23,46,36,o
10,24,61,15,o
10,25,60,32,o
10,26,62,28,o
10,27,67,31,o
10,28,56,32,o
10,29,58,25,o
10,30,54,34,o
11,13,51,18,x
11,1,33,36,x
11,2,57,35,x
11,3,53,22,x
11,4,51,30,x
11,5,39,37,x
11,6,38,31,x
11,7,41,31,x
11,8,38,20,x
11,9,46,23,x
11,10,51,23,x
11,20,65,32,o
11,21,58,17,o
11,22,55,36,o
11,23,50,36,o
11,24,64,15,o
11,25,62,33,o
11,26,64,28,o
11,27,71,32,o
11,28,60,32,o
11,29,59,24,o
11,30,56,34,o
12,13,53,18,x
12,1,34,36,x
12,2,61,35,x
12,3,54,22,x
12,4,54,31,x
12,5,42,38,x
12,6,42,30,x
12,7,45,30,x
12,8,43,21,x
12,9,50,22,x
12,10,56,24,x
12,20,70,31,o
12,21,59,17,o
12,22,57,36,o
12,23,53,36,o
12,24,66,16,o
12,25,66,34,o
12,26,69,27,o
12,27,76,33,o
12,28,63,32,o
12,29,60,24,o
12,30,57,34,o
13,13,57,19,x
13,1,38,37,x
13,2,66,34,x
13,3,56,22,x
13,4,58,31,x
13,5,44,38,x
13,6,43,30,x
13,7,49,29,x
13,8,46,22,x
13,9,54,22,x
13,10,57,25,x
13,20,74,32,o
13,21,63,16,o
13,22,60,35,o
13,23,56,35,o
13,24,67,15,o
13,25,67,35,o
13,26,74,26,o
13,27,79,33,o
13,28,68,33,o
13,29,64,23,o
13,30,60,33,o
14,13,59,18,x
14,1,40,37,x
14,2,69,35,x
14,3,60,22,x
14,4,61,32,x
14,5,45,39,x
14,6,48,29,x
14,7,54,28,x
14,8,49,22,x
14,9,58,21,x
14,10,60,24,x
14,20,78,33,o
14,21,64,15,o
14,22,64,34,o
14,23,60,36,o
14,24,69,16,o
14,25,72,36,o
14,26,76,27,o
14,27,83,33,o
14,28,71,32,o
14,29,68,24,o
14,30,62,32,o
15,13,64,18,x
15,1,41,38,x
15,2,74,34,x
15,3,61,22,x
15,4,65,32,x
15,5,50,40,x
15,6,51,30,x
15,7,55,28,x
15,8,50,22,x
15,9,59,22,x
15,10,63,25,x
15,20,80,32,o
15,21,66,14,o
15,22,68,34,o
15,23,63,36,o
15,24,73,16,o
15,25,77,36,o
15,26,79,26,o
15,27,87,32,o
15,28,72,33,o
15,29,73,25,o
15,30,67,32,o
16,13,68,18,x
16,1,46,38,x
16,2,75,33,x
16,3,65,23,x
16,4,68,33,x
16,5,53,39,x
16,6,52,31,x
16,7,58,28,x
16,8,52,23,x
16,9,61,22,x
16,10,66,24,x
16,20,84,32,o
16,21,71,15,o
16,22,69,33,o
16,23,67,37,o
16,24,78,15,o
16,25,78,37,o
16,26,84,27,o
16,27,89,33,o
16,28,76,34,o
16,29,77,24,o
16,30,71,33,o
17,13,73,17,x
17,1,47,39,x
17,2,77,34,x
17,3,67,24,x
17,4,70,34,x
17,5,55,40,x
17,6,53,30,x
17,7,61,29,x
17,8,57,24,x
17,9,66,21,x
17,10,68,25,x
17,20,89,33,o
17,21,75,14,o
17,22,70,32,o
17,23,72,37,o
17,24,82,16,o
17,25,83,36,o
17,26,89,27,o
17,27,92,34,o
17,28,78,35,o
17,29,78,23,o
17,30,74,34,o
18,13,75,18,x
18,1,49,38,x
18,2,79,33,x
18,3,69,24,x
18,4,75,34,x
18,5,59,41,x
18,6,55,31,x
18,7,62,28,x
18,8,58,23,x
18,9,67,20,x
18,10,73,25,x
18,20,94,34,o
18,21,76,15,o
18,22,73,32,o
18,23,77,36,o
18,24,85,16,o
18,25,86,35,o
18,26,90,28,o
18,27,93,35,o
18,28,80,36,o
18,29,82,23,o
18,30,78,35,o
19,13,76,17,x
19,1,50,37,x
19,2,81,34,x
19,3,72,23,x
19,4,80,35,x
19,5,63,40,x
19,6,59,32,x
19,7,63,28,x
19,8,62,24,x
19,9,71,21,x
19,10,76,24,x
19,20,96,35,o
19,21,78,15,o
19,22,77,32,o
19,23,82,35,o
19,24,89,15,o
19,25,89,36,o
19,26,92,28,o
19,27,98,35,o
19,28,81,37,o
19,29,87,24,o
19,30,82,35,o
20,13,79,18,x
20,1,55,36,x
20,2,83,33,x
20,3,75,22,x
20,4,82,34,x
20,5,65,39,x
20,6,62,32,x
20,7,68,29,x
20,8,63,25,x
20,9,73,22,x
20,10,81,24,x
20,20,98,35,o
20,21,81,16,o
20,22,80,31,o
20,23,83,34,o
20,24,94,14,o
20,25,92,35,o
20,26,97,29,o
20,27,102,35,o
20,28,82,36,o
20,29,92,25,o
20,30,83,36,o
